word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
fierce,0.812,0,0.352,0.469,0,0,0,0
destroyer,0.812,0,0,0.750,0,0,0,0
angrytweet,0.812,0,0,0,0,0,0,0
barbaric,0.812,0,0.719,0.859,0,0,0,0
vendetta,0.812,0,0,0.703,0,0.594,0,0
pissesmeoff,0.812,0,0,0,0,0,0,0
pissedoff,0.812,0,0,0,0,0,0,0
tyrant,0.812,0,0.711,0.788,0,0.625,0,0
berserk,0.812,0,0,0,0,0,0,0
fuming,0.812,0,0,0,0,0,0,0
anger,0.811,0,0,0,0,0,0,0
pieceofshit,0.810,0,0,0,0,0,0,0
punched,0.803,0,0,0,0,0,0,0
punching,0.803,0,0,0,0,0,0,0
slam,0.803,0,0,0.484,0,0,0.703,0
homicide,0.803,0,0.836,0.859,0,0.844,0,0
bitch,0.803,0,0.648,0.297,0,0.406,0,0
fights,0.803,0,0,0,0,0,0,0
ruthless,0.797,0,0.562,0.656,0,0,0,0
villainous,0.797,0,0.641,0.594,0,0,0,0
destructive,0.797,0,0.531,0.812,0,0,0,0
slap,0.791,0,0,0,0,0,0.680,0
riot,0.788,0,0,0.766,0,0,0,0
growthefuckup,0.788,0,0,0,0,0,0,0
punishing,0.788,0,0,0.562,0,0.703,0,0
slaughterhouse,0.788,0,0.867,0.859,0,0.703,0,0
yelling,0.788,0,0,0,0,0,0,0
diabolical,0.788,0,0.727,0.703,0,0,0,0
destroyed,0.788,0,0,0.754,0,0.844,0,0
ragetweet,0.788,0,0,0,0,0,0,0
retaliatory,0.788,0,0,0,0,0,0,0
manslaughter,0.783,0,0.812,0.828,0,0.833,0.719,0
clash,0.783,0,0,0,0,0,0,0
quarrel,0.781,0,0,0,0,0,0,0
bloody,0.781,0,0.555,0.781,0,0.806,0,0
hellish,0.781,0,0.695,0.828,0,0.738,0,0
sinister,0.781,0,0.750,0.672,0,0,0,0
loath,0.781,0,0,0,0,0,0,0
detonation,0.781,0,0,0,0,0,0,0
accusing,0.779,0,0,0.484,0,0,0,0
fumin,0.779,0,0,0,0,0,0,0
hateeee,0.779,0,0,0,0,0,0,0
treacherous,0.779,0,0.570,0.750,0,0,0,0
